,Title,Link,Rating,Release Year
65,Witness for the Prosecution,https://www.imdb.com/title/tt0051201/?ref_=chttp_i_66,8.4,1957
66,The Shining,https://www.imdb.com/title/tt0081505/?ref_=chttp_i_67,8.4,1980
67,The Great Dictator,https://www.imdb.com/title/tt0032553/?ref_=chttp_i_68,8.4,1940
68,Aliens,https://www.imdb.com/title/tt0090605/?ref_=chttp_i_69,8.4,1986
69,Inglourious Basterds,https://www.imdb.com/title/tt0361748/?ref_=chttp_i_70,8.4,2009
70,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=chttp_i_71,8.4,2012
71,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.imdb.com/title/tt0057012/?ref_=chttp_i_72,8.4,1964
72,American Beauty,https://www.imdb.com/title/tt0169547/?ref_=chttp_i_73,8.3,1999
73,Oldeuboi,https://www.imdb.com/title/tt0364569/?ref_=chttp_i_74,8.3,2003
74,Coco,https://www.imdb.com/title/tt2380307/?ref_=chttp_i_75,8.4,2017
75,Amadeus,https://www.imdb.com/title/tt0086879/?ref_=chttp_i_76,8.4,1984
76,Toy Story,https://www.imdb.com/title/tt0114709/?ref_=chttp_i_77,8.3,1995
77,Das Boot,https://www.imdb.com/title/tt0082096/?ref_=chttp_i_78,8.4,1981
78,Avengers: Endgame,https://www.imdb.com/title/tt4154796/?ref_=chttp_i_79,8.4,2019
79,Braveheart,https://www.imdb.com/title/tt0112573/?ref_=chttp_i_80,8.3,1995
80,Joker,https://www.imdb.com/title/tt7286456/?ref_=chttp_i_81,8.4,2019
81,Mononoke-hime,https://www.imdb.com/title/tt0119698/?ref_=chttp_i_82,8.3,1997
82,Good Will Hunting,https://www.imdb.com/title/tt0119217/?ref_=chttp_i_83,8.3,1997
83,Kimi no na wa.,https://www.imdb.com/title/tt5311514/?ref_=chttp_i_84,8.4,2016
84,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/?ref_=chttp_i_85,8.3,1984
85,Tengoku to jigoku,https://www.imdb.com/title/tt0057565/?ref_=chttp_i_86,8.4,1963
